CustomerID,TenureMonths,Location,DeviceClass,GamesProduct,MusicProduct,EducationProduct,CallCenter,VideoProduct,UseMyApp,PaymentMethod,MonthlyPurchase
3184,72,0,0,2,2,2,0,2,2,3,32.175
2833,45,0,1,1,0,1,1,1,1,1,105.3
3539,70,0,2,1,1,1,1,1,1,2,149.435
969,67,0,2,1,0,1,1,1,1,3,141.375
4603,69,0,0,2,2,2,0,2,2,2,25.87
5751,33,1,2,1,0,0,0,0,1,0,117.845
2662,58,0,0,2,2,2,0,2,2,3,31.85
4094,38,0,2,1,0,0,0,0,0,1,104.585
6034,37,0,2,0,0,0,0,1,1,0,123.825
3813,33,1,0,2,2,2,0,2,2,3,33.41
2387,47,0,0,2,2,2,0,2,2,3,26.715
4224,12,1,1,0,1,0,0,0,0,3,38.155
6375,8,0,0,2,2,2,0,2,2,2,25.35
3567,72,0,1,1,1,1,1,1,1,2,82.81
4148,68,0,1,1,1,1,1,1,1,3,107.185
2646,3,1,1,0,0,0,1,0,0,1,65.325
6626,49,0,2,0,1,0,0,1,0,3,110.89
252,33,1,2,0,1,0,0,0,0,2,104.78
5435,18,0,1,1,1,0,1,0,0,1,52.26
4554,11,0,0,2,2,2,0,2,2,3,25.61
3975,60,0,2,0,0,0,1,1,1,0,128.7
4847,46,0,1,1,0,1,1,1,1,2,78.975
5719,0,1,0,2,2,2,0,2,2,1,25.61
2818,72,0,2,1,0,1,0,1,1,0,137.15
1702,47,0,2,0,0,1,0,1,1,0,130.065
4428,4,1,1,0,0,0,0,0,0,0,59.67
4808,70,0,1,1,1,0,1,0,0,0,85.8
3790,65,1,2,0,1,1,1,1,1,2,139.945
5722,65,1,2,0,1,1,0,1,1,0,139.685
4041,53,0,2,0,1,0,1,0,1,2,127.075
2094,68,1,1,0,1,1,1,1,1,3,78.39
2843,32,0,2,1,1,1,0,0,1,1,123.24
641,1,0,2,0,0,0,0,0,0,0,100.295
6140,42,0,1,0,1,0,0,0,0,0,64.415
3882,2,0,1,0,0,0,0,0,0,0,31.85
4405,25,0,0,2,2,2,0,2,2,2,25.35
297,1,0,1,0,0,0,0,0,1,0,46.215
303,60,0,2,0,1,0,0,1,1,0,122.72
2406,46,0,2,1,0,0,0,1,0,3,115.895
5816,69,0,2,1,1,1,1,1,1,2,148.655
3154,67,0,0,2,2,2,0,2,2,3,32.305
1839,1,0,1,1,0,0,0,0,0,2,39.65
4384,31,0,0,2,2,2,0,2,2,1,27.235
4306,24,1,1,0,0,1,0,0,0,3,64.09
655,1,0,2,0,0,0,0,0,0,2,90.35
4139,35,0,1,1,1,0,0,0,0,3,77.285
4686,52,0,0,2,2,2,0,2,2,1,25.155
4775,56,0,2,0,0,0,0,1,1,2,115.57
240,2,1,1,0,0,0,0,0,0,1,58.435
783,14,0,2,0,0,0,0,0,0,0,97.435
1354,9,1,2,0,0,0,0,0,1,0,105.04
1018,30,0,2,0,1,0,0,1,1,0,130.26
4912,56,0,0,2,2,2,0,2,2,1,32.24
977,16,0,2,0,0,0,1,0,1,3,115.765
809,8,0,2,0,0,0,0,1,0,0,113.165
6755,6,0,0,2,2,2,0,2,2,3,25.805
5036,45,1,1,1,0,0,1,0,1,1,95.615
257,27,1,2,0,0,0,0,0,0,0,98.15
893,53,0,2,0,1,0,0,1,1,0,132.47
5936,55,0,2,1,0,1,0,0,0,3,109.525
4366,7,0,0,2,2,2,0,2,2,1,26.845
3589,16,0,2,0,0,0,0,1,0,3,110.565
5162,18,0,2,0,0,1,1,0,0,0,101.66
5229,9,0,2,0,0,1,0,1,0,0,117.455
5167,7,0,1,0,0,0,0,0,0,2,58.045
3288,70,1,1,0,1,1,1,1,1,3,111.735
6698,4,1,1,1,0,0,0,0,0,1,37.895
2132,16,0,1,1,0,0,0,0,0,0,70.33
6243,70,1,2,1,1,0,1,0,0,2,109.98
5520,71,1,1,1,1,1,1,1,1,3,109.72
1357,3,1,1,0,0,0,1,1,1,0,90.155
1561,14,1,2,0,1,0,0,0,0,0,102.635
6054,4,0,0,2,2,2,0,2,2,1,25.935
2251,30,0,2,1,1,1,1,0,0,3,123.5
5474,66,1,1,1,1,1,1,1,1,2,81.25
2471,1,0,0,2,2,2,0,2,2,0,26.0
3133,46,0,0,2,2,2,0,2,2,1,25.22
2024,44,1,2,0,0,0,0,0,0,3,89.505
4687,0,0,0,2,2,2,0,2,2,1,32.955
2986,17,0,2,0,0,0,0,1,1,0,120.38
2042,30,1,2,0,0,0,1,0,1,3,116.87
4905,35,0,0,2,2,2,0,2,2,1,24.895
2876,27,0,0,2,2,2,0,2,2,2,26.325
2669,32,0,2,1,0,0,1,0,0,2,113.945
4756,24,0,1,1,1,1,0,0,0,1,86.19
5728,7,1,2,0,0,0,0,1,1,0,125.06
4098,44,0,2,0,0,1,0,1,0,0,115.96
7018,62,0,1,1,1,0,1,1,1,0,110.435
3806,18,1,1,1,0,1,1,1,0,0,88.855
6842,22,0,2,0,0,0,0,1,1,2,116.675
3475,56,0,2,0,0,1,1,1,1,0,134.16
1092,6,0,2,0,0,0,0,0,0,0,97.37
5867,70,0,2,1,1,1,1,1,1,3,148.59
124,2,0,2,1,0,0,0,0,0,0,96.72
4152,11,0,2,0,0,1,0,0,1,0,110.24
6882,57,1,2,0,1,1,0,0,1,3,122.2
4489,71,1,1,1,0,1,1,1,1,0,108.16
2922,43,0,1,0,0,0,1,1,0,2,84.305
2516,5,0,0,2,2,2,0,2,2,1,26.65
6038,39,0,2,0,0,0,1,1,1,0,131.625
1553,53,1,2,1,0,1,0,1,1,3,139.035
3482,56,0,1,1,1,1,1,1,1,2,111.345
2886,46,0,0,2,2,2,0,2,2,1,32.435
598,1,0,2,0,0,0,0,0,0,0,96.85
75,24,1,2,0,0,0,0,0,0,0,98.93
1339,1,0,2,0,0,1,0,0,0,0,97.89
1416,1,0,2,0,0,0,0,0,0,0,91.78
4772,1,0,1,0,0,0,0,0,0,0,57.2
1649,22,0,1,1,0,0,0,0,1,1,52.065
5652,1,1,0,2,2,2,0,2,2,0,25.675
3206,71,0,2,1,1,1,1,0,0,3,123.695
4024,8,0,1,0,1,1,0,0,1,1,56.355
2829,5,0,2,0,0,0,0,0,0,0,98.28
149,9,0,1,0,1,0,0,0,0,0,38.935
3001,7,0,1,1,1,0,1,0,0,0,83.46
1557,11,1,1,0,0,1,0,1,0,0,54.08
3931,15,0,1,0,1,0,0,0,0,0,63.505
453,1,0,2,0,0,0,0,0,0,0,90.48
4427,31,0,2,0,1,0,0,0,1,2,109.005
1832,43,1,2,0,1,1,0,1,1,0,133.9
3250,41,1,0,2,2,2,0,2,2,2,25.61
5663,11,1,2,0,0,0,0,0,1,0,112.06
808,3,0,2,0,1,1,0,1,1,2,136.955
2002,34,1,0,2,2,2,0,2,2,0,32.11
3353,62,0,2,1,1,1,1,1,1,1,140.595
3824,56,1,1,0,1,1,1,1,1,3,106.34
1671,4,0,2,0,0,0,0,1,0,0,102.7
1119,62,1,2,1,1,0,1,0,1,0,132.6
4353,52,0,1,1,1,1,1,1,1,1,116.025
810,1,0,1,0,0,0,0,1,0,1,69.55
1129,35,1,1,1,0,1,1,1,0,0,93.925
834,1,0,1,0,0,0,0,0,0,1,32.565
6124,53,0,0,2,2,2,0,2,2,3,26.26
5413,10,0,0,2,2,2,0,2,2,2,25.74
6732,48,0,1,1,1,1,0,1,1,3,108.485
1971,43,0,0,2,2,2,0,2,2,3,33.41
1235,1,0,0,2,2,2,0,2,2,1,26.325
1225,2,0,2,0,0,0,0,1,1,2,122.46
4051,20,0,1,1,0,0,1,0,1,1,83.395
2344,66,0,2,0,1,1,0,1,1,3,135.98
6227,72,1,2,1,0,1,0,1,1,2,136.825
4352,31,0,2,0,0,1,0,1,1,0,121.94
2273,11,0,1,0,0,0,0,0,1,1,76.635
1729,70,1,2,1,1,1,1,1,1,3,150.345
6785,45,0,1,0,0,1,0,0,0,3,65.325
2181,5,0,0,2,2,2,0,2,2,1,31.59
1027,3,0,1,0,0,0,0,1,0,3,45.76
3082,59,1,1,1,1,0,1,0,0,1,85.15
5205,30,0,0,2,2,2,0,2,2,3,26.91
349,1,0,1,0,0,0,0,0,0,0,32.76
452,1,0,1,0,0,0,0,1,0,0,77.805
662,13,1,2,1,0,0,0,1,1,1,127.595
172,1,0,2,0,0,0,0,0,1,0,104.0
1405,18,0,2,0,0,1,0,0,1,3,117.91
5857,63,0,1,1,1,1,1,0,0,1,82.615
4250,2,1,1,0,0,0,0,0,0,2,58.37
4550,24,0,2,0,0,1,0,0,0,1,103.545
422,13,1,2,0,1,0,1,0,1,2,115.765
3017,12,1,1,1,1,0,1,0,0,0,87.425
3326,20,0,0,2,2,2,0,2,2,3,25.155
881,1,0,1,1,1,0,0,0,0,0,71.37
3450,21,0,2,0,0,0,0,0,1,0,109.33
1253,65,0,2,0,1,1,0,1,1,0,138.125
6268,17,1,1,1,1,0,1,1,1,3,103.805
6210,9,1,1,0,1,0,0,0,0,1,66.105
2225,24,0,1,1,0,0,1,0,0,1,69.68
4121,37,0,1,1,0,0,0,0,0,1,71.565
6563,38,0,1,1,1,1,1,1,0,0,96.265
1905,25,0,1,1,0,0,1,1,0,3,90.35
102,69,0,2,0,0,1,0,1,1,3,129.285
3014,31,1,1,0,1,0,1,1,1,2,104.715
4301,4,1,1,1,0,1,0,0,0,1,45.5
6678,34,1,1,1,1,0,0,0,1,0,83.655
4269,72,1,2,0,1,1,1,1,1,2,145.08
2447,22,0,2,0,1,0,0,0,0,1,102.505
1580,7,1,2,0,1,0,1,1,0,0,116.675
3803,14,1,1,0,1,0,1,1,1,3,104.585
3481,71,0,1,0,1,1,1,1,1,3,109.46
4871,53,0,1,1,1,0,0,0,1,2,60.19
3877,62,1,1,1,1,1,1,0,0,2,56.81
5192,37,0,0,2,2,2,0,2,2,3,26.195
135,34,0,2,0,0,1,0,1,1,0,130.065
2521,45,1,2,0,0,1,0,1,1,2,129.61
4151,39,0,1,0,1,0,0,1,0,3,76.18
1918,50,0,0,2,2,2,0,2,2,2,26.195
6332,7,0,1,1,0,1,0,0,0,1,45.89
4697,27,0,2,0,0,0,0,1,1,3,123.5
4750,60,0,2,1,1,1,1,1,1,3,149.825
2666,46,0,2,0,0,1,0,1,1,0,128.505
5110,30,0,2,1,0,0,0,1,1,2,130.52
2925,65,0,2,1,1,1,0,1,1,3,142.22
3066,54,1,2,0,1,0,0,1,1,2,126.36
1789,3,1,2,0,0,0,0,0,0,0,90.545
5288,13,0,0,2,2,2,0,2,2,1,25.09
807,4,0,2,0,0,0,0,1,0,0,101.205
462,2,0,2,0,0,0,0,1,0,0,102.7
879,1,0,1,0,0,1,0,0,1,0,76.96
3248,1,1,1,0,0,0,0,0,0,1,59.215
4726,71,0,1,1,1,0,1,0,0,2,84.695
5680,7,1,1,1,0,0,0,0,0,0,69.745
6790,39,0,1,1,1,0,1,0,0,2,53.495
4377,61,0,2,1,1,1,0,0,1,3,130.91
799,5,0,2,0,0,0,1,0,1,3,111.02
354,14,0,2,0,0,1,0,0,1,0,113.425
3964,41,0,0,2,2,2,0,2,2,1,26.0
1073,22,0,1,1,0,1,1,1,0,2,87.75
3101,4,0,2,1,0,0,0,0,0,0,104.195
5594,18,0,1,0,0,0,0,0,0,3,59.345
144,1,0,2,1,0,0,0,0,0,1,97.89
380,5,0,2,0,0,1,0,0,0,3,98.215
1340,40,0,2,0,1,0,1,1,1,3,128.96
4168,44,0,2,0,1,1,0,0,1,3,115.895
6510,2,0,2,0,0,0,0,0,0,0,91.455
121,48,0,1,1,0,1,0,0,1,2,58.89
3745,34,1,1,0,0,0,1,1,0,0,52.715
3612,62,0,0,2,2,2,0,2,2,3,26.065
1360,22,1,2,0,1,1,0,1,0,0,116.22
418,2,1,2,0,1,0,0,0,0,0,97.11
6348,68,0,2,1,1,1,0,1,1,3,134.225
5546,12,0,2,0,0,0,1,0,0,3,103.415
1514,6,0,2,0,0,0,0,1,0,3,104.65
4184,41,0,2,0,1,1,1,1,1,2,141.83
5455,57,1,1,1,1,0,1,0,0,1,77.48
3100,23,0,0,2,2,2,0,2,2,1,32.63
2063,61,1,2,1,1,1,1,1,1,3,149.63
555,17,0,2,0,0,0,0,1,0,0,105.105
2312,72,0,2,1,0,1,1,1,1,3,145.47
3543,40,0,2,0,0,0,0,1,1,0,119.015
5440,25,0,1,1,1,1,1,1,0,2,101.855
1485,13,0,2,1,1,0,0,1,0,0,125.645
5017,35,1,2,0,1,0,1,1,0,0,116.61
1272,2,1,2,0,0,0,0,0,0,0,92.235
6598,41,0,1,0,0,0,1,0,0,2,65.065
1411,32,0,2,0,0,1,0,0,0,0,102.57
5076,50,1,2,0,1,0,1,1,1,1,130.26
6915,48,1,1,1,0,0,1,0,0,2,78.78
1471,1,0,0,2,2,2,0,2,2,1,25.09
2266,68,0,2,0,0,1,1,1,1,3,139.295
5503,39,1,2,0,0,0,1,1,1,3,129.935
5077,33,1,1,0,0,0,0,0,0,3,57.915
5635,47,0,1,0,1,0,0,1,0,2,76.18
4154,2,0,0,2,2,2,0,2,2,1,26.52
6679,19,1,0,2,2,2,0,2,2,1,26.65
3165,44,0,1,0,0,1,1,1,1,2,97.305
2436,70,0,1,1,1,1,0,1,1,3,104.195
2868,9,0,2,0,0,0,0,0,0,3,97.76
6612,9,0,0,2,2,2,0,2,2,2,25.35
981,4,0,1,1,0,0,0,0,0,0,64.155
5974,37,0,2,0,1,1,0,0,1,0,123.695
6063,19,0,2,0,0,0,0,1,0,0,112.905
3246,1,1,1,0,0,0,0,0,0,2,57.265
6207,71,1,0,2,2,2,0,2,2,3,31.07
1268,37,1,2,0,0,0,0,0,0,0,99.125
414,17,1,2,0,0,1,1,1,1,2,128.18
268,14,1,2,0,0,0,0,1,1,3,117.585
3127,30,0,1,0,0,1,1,1,0,3,89.83
654,16,0,2,0,0,0,0,1,1,0,125.32
3011,25,1,2,0,0,0,1,1,0,0,111.67
6394,39,0,2,1,1,0,0,1,1,1,128.83
2223,17,0,0,2,2,2,0,2,2,1,26.845
6989,61,0,2,1,1,1,1,0,0,3,122.46
2337,7,0,2,0,1,0,0,0,0,2,102.115
3541,72,0,2,1,1,1,1,1,1,3,147.745
773,3,0,1,0,0,0,1,0,0,1,40.3
2446,11,0,1,0,0,0,0,1,0,1,46.54
589,34,0,1,1,1,0,1,0,0,1,83.72
2907,65,0,2,1,1,1,1,0,0,3,122.915
2127,23,0,1,0,0,0,0,1,1,0,58.435
2996,19,0,1,0,0,0,0,0,1,0,73.06
3896,67,0,2,1,1,1,1,1,1,0,144.365
3038,68,1,2,1,0,1,1,1,1,2,141.765
6441,58,0,1,1,1,1,1,0,0,3,93.08
2465,8,0,0,2,2,2,0,2,2,1,25.805
3377,48,0,2,0,0,1,1,1,1,0,135.005
701,7,1,2,1,0,0,0,0,0,1,103.545
5845,63,0,1,0,1,1,1,0,0,2,51.155
2301,61,0,1,1,1,0,1,1,1,1,105.365
5121,24,0,2,0,1,1,0,0,1,0,116.415
677,10,1,2,0,0,0,0,0,0,0,91.39
6062,72,0,0,2,2,2,0,2,2,2,33.02
6607,19,0,0,2,2,2,0,2,2,2,32.37
2598,20,1,0,2,2,2,0,2,2,2,25.35
2345,72,0,2,0,1,1,1,1,1,0,145.145
4093,1,0,0,2,2,2,0,2,2,1,32.5
693,4,1,2,0,1,0,0,1,0,1,116.48
1513,32,0,2,1,1,0,1,1,1,3,140.595
6067,12,0,0,2,2,2,0,2,2,1,25.09
6105,22,0,0,2,2,2,0,2,2,1,26.39
6189,1,1,1,0,0,0,0,0,0,1,57.2
110,60,0,2,0,1,1,0,1,1,0,137.67
3852,72,1,2,1,1,1,0,1,0,2,130.845
6474,13,0,1,0,0,1,1,0,0,1,46.02
6270,15,1,0,2,2,2,0,2,2,1,25.74
2131,7,0,2,0,0,0,0,1,1,0,115.895
4085,1,0,1,0,0,0,0,0,0,2,32.825
1919,10,0,2,1,0,1,0,0,0,1,103.805
856,35,1,2,0,0,0,0,1,1,0,124.085
3408,2,0,2,1,0,0,0,0,1,1,117.975
5950,55,0,1,1,0,1,1,1,1,2,110.63
6554,70,0,1,1,0,1,1,0,1,2,62.92
2510,72,0,1,1,1,0,1,1,1,3,111.865
6897,67,1,2,0,1,0,0,1,0,2,114.92
4169,70,0,2,0,1,1,1,1,1,0,140.27
4392,54,0,2,1,1,1,0,1,1,0,142.415
1758,6,0,2,0,0,1,0,1,1,0,124.475
3337,35,0,1,1,0,0,1,1,0,3,60.255
3203,34,0,0,2,2,2,0,2,2,1,26.845
605,13,0,1,0,0,1,0,1,1,2,63.375
6986,42,0,2,0,1,1,0,1,0,0,124.215
3034,56,1,1,1,0,0,0,1,0,2,84.76
6691,9,1,2,0,0,1,0,0,0,0,95.94
1468,68,0,2,1,1,1,1,1,1,0,147.095
5178,66,0,1,1,1,1,1,1,1,2,119.21
2812,72,0,0,2,2,2,0,2,2,3,26.13
6171,2,1,2,0,0,0,0,0,0,3,91.52
5079,64,1,2,1,1,1,0,0,0,0,119.34
2921,23,0,0,2,2,2,0,2,2,3,32.24
107,1,0,2,0,0,1,0,0,0,2,97.89
29,27,0,2,0,0,1,0,0,0,0,101.465
3780,57,1,1,1,0,1,1,1,0,2,90.805
3150,7,0,1,0,0,0,0,0,0,1,57.525
3616,18,0,2,0,0,1,1,1,0,2,122.07
5346,32,0,0,2,2,2,0,2,2,1,25.74
4940,72,0,2,0,1,1,1,1,1,3,144.17
751,70,0,2,0,1,1,0,1,1,0,133.835
3168,20,0,0,2,2,2,0,2,2,1,25.22
584,1,0,2,0,0,1,0,1,1,0,131.04
1220,2,0,2,0,0,0,0,0,0,3,97.37
5040,66,1,0,2,2,2,0,2,2,1,25.675
6614,58,0,2,1,1,0,1,0,0,2,116.805
3274,41,1,0,2,2,2,0,2,2,1,32.305
6053,72,0,1,1,0,1,1,1,1,3,79.56
548,1,0,2,1,0,0,0,1,1,0,124.28
5448,41,1,1,0,0,1,0,1,1,0,66.755
6921,68,1,1,1,1,1,1,1,1,2,115.765
2874,54,0,2,1,0,1,1,0,0,0,109.72
6548,55,0,2,0,1,0,1,0,0,0,103.22
3715,4,0,0,2,2,2,0,2,2,1,25.48
2291,59,0,2,0,0,1,0,1,1,3,129.35
6783,43,0,1,0,0,1,1,0,1,0,57.395
6887,4,1,1,1,0,0,0,0,0,2,65.715
3396,70,0,2,1,1,0,0,1,1,0,137.865
4945,72,0,2,1,1,1,1,1,1,2,149.695
1203,1,0,2,0,0,0,0,0,1,0,110.565
344,39,0,2,0,1,1,1,0,0,0,116.415
4328,66,0,2,0,1,1,0,0,1,0,123.89
5907,72,0,1,1,0,1,1,1,1,2,109.46
1575,18,1,2,0,0,0,0,0,1,0,102.115
2900,8,0,1,0,0,0,0,1,1,0,86.125
6604,58,0,0,2,2,2,0,2,2,3,26.65
3047,48,1,2,1,1,1,0,1,0,2,125.97
3131,52,0,1,0,1,0,1,0,0,2,79.755
5853,54,0,1,0,1,1,1,1,1,0,112.06
4072,67,0,0,2,2,2,0,2,2,2,26.65
2173,32,0,2,0,1,0,0,1,1,1,122.135
90,4,0,2,0,1,1,0,0,0,2,110.24
7006,36,0,2,1,0,0,0,1,1,0,121.68
5487,15,1,1,1,0,0,0,0,0,2,39.26
4383,64,0,2,1,0,0,1,0,0,2,112.84
2252,28,0,1,1,0,0,1,0,0,1,70.59
6696,8,1,0,2,2,2,0,2,2,1,25.61
624,8,0,2,0,0,1,0,1,1,0,122.46
69,5,1,2,0,1,0,1,0,0,0,111.02
889,12,0,2,0,0,0,0,1,1,0,124.865
4845,7,0,2,0,0,0,0,1,1,0,122.33
5340,1,0,1,1,1,0,0,0,0,0,79.495
5274,65,0,1,0,1,0,1,1,0,1,58.825
6868,43,1,0,2,2,2,0,2,2,1,25.415
3921,13,0,2,0,1,0,0,0,0,1,97.045
5072,52,1,1,1,0,1,0,0,0,2,77.805
947,18,0,1,0,0,1,0,1,1,0,62.855
877,1,0,2,0,0,0,0,0,1,1,111.085
6806,50,0,2,0,0,0,1,1,1,0,129.22
6575,54,0,1,0,0,1,1,0,1,2,84.825
2462,72,0,1,1,1,1,1,0,0,2,90.545
293,39,0,2,0,1,1,0,1,1,0,137.345
5446,20,1,1,1,0,1,1,0,0,3,51.22
3091,47,0,0,2,2,2,0,2,2,0,33.02
445,1,0,1,0,0,0,0,1,0,0,45.11
4020,32,0,1,0,0,0,0,1,1,2,84.305
1961,56,0,2,0,0,1,0,1,1,3,129.74
2846,71,0,0,2,2,2,0,2,2,2,32.045
3614,1,0,1,0,0,0,0,0,0,0,58.175
1880,52,0,0,2,2,2,0,2,2,1,26.845
5186,3,0,2,0,1,0,0,0,1,0,109.59
4690,51,0,1,0,1,0,1,1,1,3,102.245
3570,43,0,2,0,0,1,1,1,1,3,135.59
4917,36,0,1,1,1,1,1,1,1,3,120.77
4678,50,0,1,1,1,1,0,0,1,2,97.695
5213,1,0,1,0,0,0,1,0,0,3,63.7
5030,45,1,1,1,1,0,1,1,0,3,96.005
4922,67,0,1,1,1,0,1,0,0,3,78.65
367,34,0,2,0,1,1,0,0,1,0,122.525
5243,62,0,2,1,0,1,0,1,1,0,136.305
5331,52,0,0,2,2,2,0,2,2,3,33.28
2540,2,1,0,2,2,2,0,2,2,1,25.35
6316,13,0,1,1,0,0,0,0,1,0,85.605
3392,14,0,0,2,2,2,0,2,2,1,25.87
6923,64,1,0,2,2,2,0,2,2,3,25.285
6455,33,0,2,0,1,0,0,1,1,2,130.78
4684,72,0,1,1,1,1,1,0,1,2,102.505
3105,56,0,0,2,2,2,0,2,2,1,31.785
3279,5,1,1,0,1,0,0,0,0,0,39.65
3720,70,0,0,2,2,2,0,2,2,3,33.865
4541,33,0,1,0,1,1,1,1,0,0,65.0
4965,22,1,2,0,0,0,0,0,1,0,110.175
4581,44,0,2,1,1,1,0,1,1,0,144.95
3871,8,1,1,1,0,0,0,0,0,1,38.155
5020,45,1,0,2,2,2,0,2,2,2,24.505
1186,23,0,2,1,1,1,0,1,0,0,129.025
3428,12,0,1,0,0,0,1,1,1,1,98.605
5004,56,1,2,0,1,1,1,0,0,0,117.715
3866,1,1,1,0,0,0,0,0,0,0,57.2
6827,67,0,0,2,2,2,0,2,2,1,27.04
5349,65,0,1,1,1,1,1,1,1,1,117.585
6888,27,1,2,0,0,1,0,0,0,0,105.69
151,7,0,0,2,2,2,0,2,2,2,26.0
1858,40,0,2,0,1,1,0,1,1,3,135.85
2464,68,0,1,1,1,1,0,0,1,3,99.97
1033,6,0,2,0,0,0,0,1,1,2,121.615
1383,5,0,1,0,0,0,0,1,1,0,59.41
915,3,1,1,0,0,0,0,0,0,0,56.29
1305,1,0,1,0,0,0,0,0,0,0,57.33
6682,68,1,1,1,1,1,0,0,0,0,54.535
3098,66,0,2,1,1,1,0,1,1,2,134.095
4983,55,1,0,2,2,2,0,2,2,1,25.35
509,1,1,2,0,1,0,0,0,0,0,97.955
5894,34,0,0,2,2,2,0,2,2,3,26.065
5963,5,0,2,0,0,0,0,1,0,0,104.26
6049,45,0,0,2,2,2,0,2,2,0,24.96
2647,29,1,0,2,2,2,0,2,2,1,25.74
5799,24,0,1,0,0,0,1,0,0,2,70.98
6022,28,0,1,0,1,0,0,0,1,0,50.83
748,25,0,2,0,0,0,0,1,1,2,123.11
2304,35,0,2,1,1,0,0,0,1,0,122.915
4076,35,0,2,1,1,1,1,1,1,1,147.16
5410,55,0,2,1,0,0,0,1,1,0,123.175
1310,18,0,2,1,0,0,0,1,1,0,124.865
1611,2,0,2,0,0,0,0,1,0,1,112.905
6988,49,0,1,0,1,0,1,1,1,3,73.19
911,9,1,2,0,0,0,0,1,0,2,110.955
2673,70,0,1,1,1,1,1,0,0,3,84.435
2499,13,0,1,1,0,0,0,0,0,2,40.105
